sample_name,included,matches_filter,order_number,sample_date,description
P3-L3,No,No,NO2516986,2025-07-07,Gamle steinmasser som kan være forurenset av biltrafikk.
P4-L1,No,No,NO2516985,2025-07-07,"Freset asfalt fra 1970, som skal sjekkes for tjære før deponering."
P4-L2,No,No,NO2516986,2025-07-07,Gamle steinmasser som kan være forurenset av biltrafikk.
P4-L3,No,No,NO2516986,2025-07-07,Gamle steinmasser som kan være forurenset av biltrafikk.
PEL 8981,Yes,Yes,NO2326608,2023-11-30,3 blandprøver fra tverrsnittet - Vestgående løp
PEL 8981 Kolonnetest,Yes,Yes,NO2326608,2023-11-30,L/S=1.0
PEL 8981 Ristetest,Yes,Yes,NO2326608,2023-11-30,
PEL 9960,Yes,Yes,NO2326608,2023-11-30,3 blandprøver fra tverrsnittet - Østgående løp
PEL 9960 Kolonnetest,Yes,Yes,NO2326608,2023-11-30,L/S=1.0
PEL 9960 Ristetest,Yes,Yes,NO2326608,2023-11-30,
Pel. 8760 - 8560,Yes,Yes,NO2430587,2024-12-18,Bunnrenskprøve Pel. 8760-8560
Pigga fjell tunnel,No,No,NO2322584,2023-10-19,
Ramstadsletta 46,No,No,NO2310183,2023-05-16,0-1 meter. Jord ned til leire
Referanse masse,No,No,NO2500903,2025-01-15,
Rett etter søl. Beholder: biohydraulikkolje,No,No,NO2415780,2024-07-10,
Rett etter søl. Beholder: hydraulikkolje,No,No,NO2415780,2024-07-10,
Rheobuilt blanding,No,No,NO2500903,2025-01-15,
Rheobuilt blanding 24t,No,No,NO2501013,2025-01-16,
SA01,No,No,NO2407320,2024-04-09,Grunnmasser fra Sandviksveien
SA02,No,No,NO2407320,2024-04-09,Grunnmasser fra Sandviksveien
SA03,No,No,NO2407320,2024-04-09,Grunnmasser fra Sandviksveien
SA04,No,No,NO2407320,2024-04-09,Grunnmasser fra Sandviksveien
SA05,No,No,NO2407320,2024-04-09,Grunnmasser fra Sandviksveien
SA06,No,No,NO2407320,2024-04-09,Grunnmasser fra Sandviksveien
SAS,No,No,NO2407356,2024-04-09,"Blandprøve av grunnmasser fra Sandviksveien, SA01-06"
SAS Kolonnetest,No,No,NO2407356,2024-04-09,L/S=0.1
SAS Ristetest,No,No,NO2407356,2024-04-09,
"SP1 0-1,6m",No,No,NO2316569,2023-08-15,Vertikal repr. prøve
SP1 nederste lag,No,No,NO2316569,2023-08-15,Luktet noe olje
"SP2 0,4-0,6m",No,No,NO2316569,2023-08-15,Sand og tegl
"SP2 0-1,9m",No,No,NO2316569,2023-08-15,Vertikal repr. prøve
SP3,No,No,NO2316569,2023-08-15,Vertikal repr. prøve
SP4 - N,No,No,NO2327001,2023-12-06,Jord og leire
SP4 - NN,No,No,NO2327001,2023-12-06,Brun sandig masse
SP4 - S,No,No,NO2327001,2023-12-06,Jord og leire
SP4 - V,No,No,NO2327001,2023-12-06,jord og leire
SP4 - Ø,No,No,NO2327001,2023-12-06,jord og leire
SP4 mot leira,No,No,NO2322583,2023-10-19,jord og leire
SP4 topp,No,No,NO2322583,2023-10-19,Fyllmassene
SP5,No,No,NO2322583,2023-10-19,"Fyllmassene: 0-0,8m"
SPS24,No,No,NO2408675,2024-04-22,Sprengsteinsprøve fra mellomlager
Sandfang Esso,No,No,NO2223191,2022-11-08,
