project_code,inbox_path,filename,extension,size_kb,parent_folder
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\sikta prøve 2022_nov 24 tatt 17 nov\Vannmiljo_EUNOMO-00356531 - 1 av 1 - 20221209 1133.xlsx,Vannmiljo_EUNOMO-00356531 - 1 av 1 - 20221209 1133.xlsx,.xlsx,30,SVV\E16 Bjørum Skaret\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\sikta prøve 2022_nov 24 tatt 17 nov
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Sollihøgdtunnel\EUNOMO-00392110 - 6 av 6 - 20231016 1314.xlsx,EUNOMO-00392110 - 6 av 6 - 20231016 1314.xlsx,.xlsx,51,SVV\E16 Bjørum Skaret\SVV prøver\Sollihøgdtunnel
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Sollihøgdtunnel\EUNOMO-00392110_10625-18  501844 (steinmasser fra tunnel) - 6 av 6 - 20231016 1314.pdf,EUNOMO-00392110_10625-18  501844 (steinmasser fra tunnel) - 6 av 6 - 20231016 1314.pdf,.pdf,302,SVV\E16 Bjørum Skaret\SVV prøver\Sollihøgdtunnel
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Sollihøgdtunnel\EUNOMO-00407650_10625-18  501844 - 2 av 2 - 20240311 1611.pdf,EUNOMO-00407650_10625-18  501844 - 2 av 2 - 20240311 1611.pdf,.pdf,141,SVV\E16 Bjørum Skaret\SVV prøver\Sollihøgdtunnel
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Sollihøgdtunnel\ExcelReport_EUNOMO-00407650 - 2 av 2 - 20240311 1610.xlsx,ExcelReport_EUNOMO-00407650 - 2 av 2 - 20240311 1610.xlsx,.xlsx,26,SVV\E16 Bjørum Skaret\SVV prøver\Sollihøgdtunnel
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\SVV prøver\Sollihøgdtunnel\ExcelReport_EUNOMO-00407650 - 2 av 2 - 20240311 1610_merking.xlsx,ExcelReport_EUNOMO-00407650 - 2 av 2 - 20240311 1610_merking.xlsx,.xlsx,26,SVV\E16 Bjørum Skaret\SVV prøver\Sollihøgdtunnel
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_10_2022 Sollihøgdatunnelen M5 Sørgående\EUNOMO-00326648_E16BS Bunnrenskmasser Avtjerna 245651 - 5 av 5 enkeltprøver .pdf,EUNOMO-00326648_E16BS Bunnrenskmasser Avtjerna 245651 - 5 av 5 enkeltprøver .pdf,.pdf,186,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_10_2022 Sollihøgdatunnelen M5 Sørgående
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_10_2022 Sollihøgdatunnelen M5 Sørgående\ExcelReport_EUNOMO-00326648 - 5 av 5 - enkeltprøver.xlsx,ExcelReport_EUNOMO-00326648 - 5 av 5 - enkeltprøver.xlsx,.xlsx,45,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_10_2022 Sollihøgdatunnelen M5 Sørgående
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_26_2022 Sollihøgdatunnelen M6 Nordgående\EUNOMO-00339019_E16 BS Bunnrensk Skaret Nord U26 prosjekt 245651.pdf,EUNOMO-00339019_E16 BS Bunnrensk Skaret Nord U26 prosjekt 245651.pdf,.pdf,412,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_26_2022 Sollihøgdatunnelen M6 Nordgående
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_26_2022 Sollihøgdatunnelen M6 Nordgående\ExcelReport_EUNOMO-00339019 - 6 av 6 - 20220722 0923.xlsx,ExcelReport_EUNOMO-00339019 - 6 av 6 - 20220722 0923.xlsx,.xlsx,56,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_26_2022 Sollihøgdatunnelen M6 Nordgående
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_50_2021 Sollihødatunnelen rein stein M6\EUNOMO-00318835_E16 BS Tunnelstein Skaret U50 prosjekt 245651 -.pdf,EUNOMO-00318835_E16 BS Tunnelstein Skaret U50 prosjekt 245651 -.pdf,.pdf,215,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_50_2021 Sollihødatunnelen rein stein M6
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_50_2021 Sollihødatunnelen rein stein M6\ExcelReport_EUNOMO-00318835 - 3 av 3 - 20220117 1435.xlsx,ExcelReport_EUNOMO-00318835 - 3 av 3 - 20220117 1435.xlsx,.xlsx,20,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_50_2021 Sollihødatunnelen rein stein M6
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_9_2022 Sollihøgdatunnelen M6 Nordgående\EUNOMO-00326313_Oppbevaring E16BS Bunnrenskmasser Skaret 245651 - 5 av 5 - 20220419 1453.pdf,EUNOMO-00326313_Oppbevaring E16BS Bunnrenskmasser Skaret 245651 - 5 av 5 - 20220419 1453.pdf,.pdf,164,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_9_2022 Sollihøgdatunnelen M6 Nordgående
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_9_2022 Sollihøgdatunnelen M6 Nordgående\ExcelReport_EUNOMO-00326313 - 5 av 5 - 20220419 1453.xlsx,ExcelReport_EUNOMO-00326313 - 5 av 5 - 20220419 1453.xlsx,.xlsx,46,SVV\E16 Bjørum Skaret\Skanska prøver\Uke_9_2022 Sollihøgdatunnelen M6 Nordgående
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\analyser\Ferdig Total klassifisering bunnrensk fullstendige prøver.xlsx,Ferdig Total klassifisering bunnrensk fullstendige prøver.xlsx,.xlsx,34,SVV\E16 Bjørum Skaret\analyser
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\analyser\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\15 des\15des_prøver_med_merking.xlsx,15des_prøver_med_merking.xlsx,.xlsx,45,SVV\E16 Bjørum Skaret\analyser\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\15 des
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\analyser\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\15 des\EUNOMO-00359293_10625-18  501844 - 2 av 2 - 20230120 1137.pdf,EUNOMO-00359293_10625-18  501844 - 2 av 2 - 20230120 1137.pdf,.pdf,305,SVV\E16 Bjørum Skaret\analyser\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\15 des
05_Bjørum-Skaret,SVV\E16 Bjørum Skaret\analyser\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\15 des\ExcelReport_EUNOMO-00359293 - 2 av 2 - 20230120 1136.xlsx,ExcelReport_EUNOMO-00359293 - 2 av 2 - 20230120 1136.xlsx,.xlsx,31,SVV\E16 Bjørum Skaret\analyser\SVV prøver\Bukkesteinhøgdtunnel etter utlegging Skaret\15 des
